student_id,race_ethnicity,sex,appalachian_residency,generation,age_at_entry,total_students,graduation_time,graduated,grad_in_4,grad_in_6
1,white,female,appalachian,gen_unknown,36,1,did_not_graduate,0,0,0
2,white,male,appalachian,gen_unknown,23,1,did_not_graduate,0,0,0
6,white,male,appalachian,non_first_gen,18,1,did_not_graduate,0,0,0
7,hispanic_latino,male,appalachian,non_first_gen,18,1,did_not_graduate,0,0,0
9,white,female,appalachian,non_first_gen,18,1,did_not_graduate,0,0,0
11,white,male,appalachian,non_first_gen,18,1,did_not_graduate,0,0,0
12,white,male,appalachian,first_gen,18,1,did_not_graduate,0,0,0
13,white,female,appalachian,non_first_gen,18,1,did_not_graduate,0,0,0
16,white,male,appalachian,first_gen,22,1,did_not_graduate,0,0,0
17,white,female,appalachian,non_first_gen,17,1,did_not_graduate,0,0,0
18,hispanic_latino,female,appalachian,first_gen,18,1,did_not_graduate,0,0,0
19,white,female,appalachian,gen_unknown,18,1,did_not_graduate,0,0,0
20,white,female,appalachian,first_gen,18,1,did_not_graduate,0,0,0
21,white,female,appalachian,non_first_gen,18,1,did_not_graduate,0,0,0
22,white,male,appalachian,first_gen,18,1,did_not_graduate,0,0,0
23,white,female,appalachian,first_gen,18,1,did_not_graduate,0,0,0
24,white,male,appalachian,non_first_gen,19,1,did_not_graduate,0,0,0
25,white,female,appalachian,first_gen,19,1,did_not_graduate,0,0,0
26,white,female,appalachian,first_gen,18,1,did_not_graduate,0,0,0
27,white,male,appalachian,non_first_gen,19,1,did_not_graduate,0,0,0
28,white,male,appalachian,first_gen,19,1,did_not_graduate,0,0,0
32,white,female,appalachian,first_gen,18,1,did_not_graduate,0,0,0
33,two_or_more_races,male,appalachian,first_gen,18,1,did_not_graduate,0,0,0
34,white,male,appalachian,non_first_gen,17,1,did_not_graduate,0,0,0
35,white,male,appalachian,non_first_gen,18,1,did_not_graduate,0,0,0
38,white,male,appalachian,non_first_gen,18,1,did_not_graduate,0,0,0
43,white,male,appalachian,non_first_gen,18,1,did_not_graduate,0,0,0
57,white,female,appalachian,non_first_gen,18,1,did_not_graduate,0,0,0
59,white,female,appalachian,first_gen,18,1,did_not_graduate,0,0,0
64,white,male,appalachian,non_first_gen,18,1,did_not_graduate,0,0,0
65,white,male,appalachian,non_first_gen,18,1,did_not_graduate,0,0,0
70,white,female,appalachian,non_first_gen,18,1,did_not_graduate,0,0,0
72,white,female,appalachian,first_gen,18,1,did_not_graduate,0,0,0
78,white,female,appalachian,non_first_gen,18,1,did_not_graduate,0,0,0
79,white,male,appalachian,first_gen,18,1,did_not_graduate,0,0,0
81,white,female,appalachian,non_first_gen,18,1,did_not_graduate,0,0,0
92,white,female,appalachian,first_gen,18,1,did_not_graduate,0,0,0
94,white,male,appalachian,first_gen,18,1,did_not_graduate,0,0,0
99,white,female,appalachian,non_first_gen,18,1,did_not_graduate,0,0,0
108,white,male,appalachian,non_first_gen,19,1,did_not_graduate,0,0,0
109,white,female,appalachian,non_first_gen,18,1,did_not_graduate,0,0,0
119,white,female,appalachian,first_gen,18,1,did_not_graduate,0,0,0
121,white,female,appalachian,non_first_gen,18,1,did_not_graduate,0,0,0
128,white,female,appalachian,first_gen,18,1,did_not_graduate,0,0,0
130,white,female,appalachian,non_first_gen,18,1,did_not_graduate,0,0,0
134,white,female,appalachian,non_first_gen,18,1,did_not_graduate,0,0,0
135,white,female,appalachian,non_first_gen,19,1,did_not_graduate,0,0,0
137,white,male,appalachian,first_gen,18,1,did_not_graduate,0,0,0
142,white,female,appalachian,non_first_gen,18,1,did_not_graduate,0,0,0
147,white,male,appalachian,non_first_gen,19,1,did_not_graduate,0,0,0
155,white,female,appalachian,non_first_gen,18,1,did_not_graduate,0,0,0
161,white,male,appalachian,non_first_gen,18,1,did_not_graduate,0,0,0
164,white,male,appalachian,non_first_gen,18,1,did_not_graduate,0,0,0
177,white,female,appalachian,first_gen,18,1,did_not_graduate,0,0,0
178,white,male,appalachian,first_gen,18,1,did_not_graduate,0,0,0
180,white,female,appalachian,non_first_gen,18,1,did_not_graduate,0,0,0
192,white,male,appalachian,gen_unknown,18,1,did_not_graduate,0,0,0
196,white,male,appalachian,first_gen,19,1,did_not_graduate,0,0,0
198,white,female,appalachian,first_gen,18,1,did_not_graduate,0,0,0
200,white,female,appalachian,gen_unknown,18,1,did_not_graduate,0,0,0
