StudentID	Race_Ethnicity	Sex	appalachian_residency	generation	pell_elligibility	age_at_entry	graduated
1	White	Male	appalachian	non_first_gen	pell_elligible	16	1
2	White	Male	appalachian	gen_unknown	pell_elligible	23	0
3	White	Male	non_appalachian	non_first_gen	pell_elligible	22	0
4	White	Male	appalachian	non_first_gen	pell_elligible	22	0
5	White	Male	appalachian	first_gen	pell_elligible	22	0
6	two_or_more_races	Female	appalachian	non_first_gen	non_pell_elligible	17	1
7	White	Female	appalachian	non_first_gen	non_pell_elligible	18	1
8	White	Female	appalachian	non_first_gen	non_pell_elligible	18	1
9	White	Male	non_appalachian	non_first_gen	non_pell_elligible	18	1
10	White	Male	appalachian	non_first_gen	non_pell_elligible	17	0
11	nonresident_alien	Male	non_appalachian	gen_unknown	non_pell_elligible	20	0
12	two_or_more_races	Male	appalachian	first_gen	pell_elligible	20	1
13	White	Male	non_appalachian	non_first_gen	pell_elligible	22	1
14	White	Male	non_appalachian	non_first_gen	pell_elligible	20	1
15	White	Male	non_appalachian	non_first_gen	pell_elligible	20	0
16	White	Male	non_appalachian	first_gen	non_pell_elligible	21	1
17	White	Male	appalachian	first_gen	non_pell_elligible	20	1
18	White	Male	non_appalachian	non_first_gen	non_pell_elligible	20	1
19	White	Male	appalachian	non_first_gen	non_pell_elligible	19	1
20	White	Male	appalachian	non_first_gen	pell_elligible	18	0
21	White	Male	non_appalachian	first_gen	non_pell_elligible	20	1
22	White	Female	appalachian	first_gen	non_pell_elligible	18	1
23	White	Male	appalachian	non_first_gen	non_pell_elligible	18	1
24	White	Male	appalachian	non_first_gen	non_pell_elligible	19	1
25	White	Female	appalachian	non_first_gen	non_pell_elligible	18	1
26	nonresident_alien	Female	appalachian	first_gen	non_pell_elligible	18	1
27	White	Female	appalachian	non_first_gen	non_pell_elligible	18	0
28	White	Female	appalachian	non_first_gen	non_pell_elligible	18	1
29	White	Female	appalachian	first_gen	non_pell_elligible	18	1
30	White	Female	appalachian	first_gen	pell_elligible	18	1
31	hispanic_latino	Male	appalachian	non_first_gen	non_pell_elligible	20	0
32	White	Male	appalachian	non_first_gen	non_pell_elligible	18	1
33	White	Male	appalachian	non_first_gen	non_pell_elligible	18	1
34	White	Male	non_appalachian	first_gen	non_pell_elligible	19	1
35	White	Male	non_appalachian	non_first_gen	non_pell_elligible	18	1
36	White	Male	non_appalachian	first_gen	non_pell_elligible	18	1
37	White	Female	appalachian	first_gen	pell_elligible	17	1
38	White	Female	non_appalachian	non_first_gen	non_pell_elligible	18	0
39	White	Male	non_appalachian	non_first_gen	non_pell_elligible	19	1
40	White	Female	non_appalachian	non_first_gen	non_pell_elligible	17	0
41	White	Female	appalachian	first_gen	pell_elligible	18	1
42	White	Female	appalachian	first_gen	pell_elligible	18	1
43	two_or_more_races	Female	appalachian	non_first_gen	non_pell_elligible	18	1
44	Asian	Female	appalachian	non_first_gen	non_pell_elligible	18	1
45	White	Male	non_appalachian	gen_unknown	non_pell_elligible	18	1
46	White	Male	appalachian	non_first_gen	non_pell_elligible	18	1
47	White	Female	non_appalachian	non_first_gen	non_pell_elligible	18	0
48	White	Male	appalachian	non_first_gen	non_pell_elligible	19	0
49	White	Male	non_appalachian	non_first_gen	non_pell_elligible	18	1
50	White	Female	appalachian	non_first_gen	pell_elligible	18	0
51	White	Female	non_appalachian	first_gen	pell_elligible	18	0
52	White	Female	non_appalachian	first_gen	pell_elligible	18	1
53	White	Male	non_appalachian	first_gen	pell_elligible	18	0
54	White	Female	non_appalachian	first_gen	non_pell_elligible	18	1
55	White	Female	non_appalachian	gen_unknown	non_pell_elligible	19	0
56	White	Female	appalachian	first_gen	pell_elligible	18	1
57	White	Female	appalachian	non_first_gen	pell_elligible	18	1
58	two_or_more_races	Male	appalachian	non_first_gen	non_pell_elligible	18	0
59	two_or_more_races	Female	appalachian	non_first_gen	non_pell_elligible	18	1
60	White	Female	appalachian	non_first_gen	non_pell_elligible	18	1
61	White	Male	appalachian	non_first_gen	non_pell_elligible	17	0
62	White	Female	appalachian	non_first_gen	non_pell_elligible	18	1
63	hispanic_latino	Female	appalachian	first_gen	non_pell_elligible	18	1
64	White	Male	appalachian	non_first_gen	pell_elligible	18	1
65	White	Female	appalachian	first_gen	pell_elligible	18	0
66	White	Male	appalachian	first_gen	pell_elligible	18	1
67	two_or_more_races	Male	appalachian	non_first_gen	non_pell_elligible	18	1
68	White	Female	appalachian	non_first_gen	non_pell_elligible	19	1
69	two_or_more_races	Female	non_appalachian	first_gen	non_pell_elligible	18	1
70	White	Female	non_appalachian	non_first_gen	non_pell_elligible	18	1
71	White	Male	appalachian	first_gen	non_pell_elligible	18	1
72	White	Female	non_appalachian	non_first_gen	non_pell_elligible	18	1
73	hispanic_latino	Female	non_appalachian	non_first_gen	non_pell_elligible	18	1
74	White	Male	appalachian	first_gen	pell_elligible	19	0
75	White	Male	appalachian	gen_unknown	pell_elligible	21	0
76	White	Female	non_appalachian	non_first_gen	non_pell_elligible	19	0
77	White	Male	non_appalachian	non_first_gen	non_pell_elligible	19	1
78	White	Male	appalachian	gen_unknown	pell_elligible	19	1
79	nonresident_alien	Female	non_appalachian	gen_unknown	non_pell_elligible	19	1
80	nonresident_alien	Female	non_appalachian	gen_unknown	non_pell_elligible	19	1
81	two_or_more_races	Female	non_appalachian	first_gen	non_pell_elligible	19	1
82	nonresident_alien	Male	non_appalachian	first_gen	non_pell_elligible	19	0
83	nonresident_alien	Male	non_appalachian	gen_unknown	non_pell_elligible	20	1
84	White	Female	non_appalachian	non_first_gen	non_pell_elligible	19	1
85	White	Male	appalachian	non_first_gen	non_pell_elligible	20	1
86	White	Male	non_appalachian	non_first_gen	non_pell_elligible	19	1
87	two_or_more_races	Male	appalachian	gen_unknown	pell_elligible	19	0
88	two_or_more_races	Male	appalachian	non_first_gen	pell_elligible	19	0
89	White	Male	non_appalachian	first_gen	non_pell_elligible	21	0
90	White	Male	appalachian	first_gen	pell_elligible	19	0
91	White	Male	non_appalachian	non_first_gen	pell_elligible	18	0
92	White	Female	non_appalachian	non_first_gen	non_pell_elligible	18	0
93	White	Female	non_appalachian	non_first_gen	pell_elligible	19	1
94	White	Female	non_appalachian	non_first_gen	non_pell_elligible	19	1
95	White	Male	non_appalachian	first_gen	non_pell_elligible	19	0
96	White	Male	non_appalachian	non_first_gen	non_pell_elligible	18	0
97	White	Male	non_appalachian	first_gen	pell_elligible	19	0
98	hispanic_latino	Female	non_appalachian	first_gen	pell_elligible	18	1
99	White	Female	non_appalachian	first_gen	pell_elligible	19	0
100	hispanic_latino	Male	non_appalachian	first_gen	pell_elligible	19	1
101	nonresident_alien	Male	non_appalachian	non_first_gen	non_pell_elligible	18	1
102	White	Male	non_appalachian	first_gen	non_pell_elligible	20	1
103	White	Male	non_appalachian	non_first_gen	pell_elligible	18	0
104	White	Male	non_appalachian	non_first_gen	non_pell_elligible	21	1
105	White	Male	non_appalachian	non_first_gen	non_pell_elligible	19	0
106	White	Female	non_appalachian	non_first_gen	pell_elligible	18	1
107	White	Male	non_appalachian	non_first_gen	pell_elligible	19	0
108	White	Male	appalachian	non_first_gen	non_pell_elligible	19	0
109	black_african_american	Male	non_appalachian	first_gen	pell_elligible	19	0
110	White	Male	non_appalachian	first_gen	non_pell_elligible	19	0
111	nonresident_alien	Male	non_appalachian	gen_unknown	non_pell_elligible	19	0
112	White	Male	non_appalachian	first_gen	non_pell_elligible	18	0
113	White	Male	appalachian	first_gen	pell_elligible	19	1
114	two_or_more_races	Male	non_appalachian	non_first_gen	non_pell_elligible	18	1
115	two_or_more_races	Female	appalachian	first_gen	non_pell_elligible	19	0
116	White	Female	appalachian	first_gen	non_pell_elligible	19	1
117	nonresident_alien	Male	non_appalachian	gen_unknown	non_pell_elligible	20	0
118	White	Female	appalachian	first_gen	pell_elligible	18	1
119	nonresident_alien	Male	non_appalachian	non_first_gen	non_pell_elligible	20	0
120	White	Male	appalachian	non_first_gen	non_pell_elligible	18	1
121	White	Female	appalachian	non_first_gen	non_pell_elligible	19	0
122	White	Male	appalachian	first_gen	non_pell_elligible	18	1
123	White	Female	non_appalachian	first_gen	non_pell_elligible	20	0
124	White	Female	appalachian	non_first_gen	non_pell_elligible	18	1
125	White	Female	appalachian	non_first_gen	non_pell_elligible	18	1
126	nonresident_alien	Female	non_appalachian	gen_unknown	non_pell_elligible	20	0
127	White	Male	appalachian	first_gen	pell_elligible	18	0
128	White	Male	appalachian	first_gen	non_pell_elligible	18	1
129	White	Female	appalachian	non_first_gen	non_pell_elligible	18	1
130	White	Female	appalachian	gen_unknown	non_pell_elligible	18	1
131	White	Female	appalachian	first_gen	pell_elligible	18	1
132	White	Female	appalachian	gen_unknown	non_pell_elligible	19	1
133	White	Male	appalachian	non_first_gen	non_pell_elligible	18	1
134	White	Female	appalachian	first_gen	pell_elligible	18	1
135	White	Male	appalachian	non_first_gen	pell_elligible	17	1
136	White	Male	appalachian	first_gen	pell_elligible	18	1
137	White	Female	appalachian	first_gen	non_pell_elligible	18	1
138	White	Female	appalachian	non_first_gen	non_pell_elligible	18	1
139	two_or_more_races	Female	appalachian	first_gen	non_pell_elligible	17	0
140	two_or_more_races	Female	appalachian	first_gen	non_pell_elligible	18	0
141	White	Female	appalachian	first_gen	pell_elligible	18	1
142	White	Female	appalachian	first_gen	pell_elligible	18	1
143	White	Female	appalachian	gen_unknown	non_pell_elligible	18	0
144	White	Female	appalachian	non_first_gen	non_pell_elligible	18	1
145	White	Female	non_appalachian	non_first_gen	non_pell_elligible	19	1
146	White	Female	non_appalachian	first_gen	pell_elligible	18	1
147	White	Female	non_appalachian	first_gen	non_pell_elligible	19	1
148	White	Male	appalachian	non_first_gen	non_pell_elligible	18	1
149	White	Male	non_appalachian	non_first_gen	non_pell_elligible	18	1
150	White	Male	non_appalachian	first_gen	pell_elligible	18	0
151	White	Female	non_appalachian	first_gen	pell_elligible	18	0
152	White	Female	appalachian	non_first_gen	non_pell_elligible	18	1
153	White	Female	non_appalachian	non_first_gen	non_pell_elligible	18	1
154	White	Female	non_appalachian	first_gen	non_pell_elligible	18	1
155	White	Female	non_appalachian	non_first_gen	non_pell_elligible	18	1
156	White	Male	appalachian	first_gen	pell_elligible	18	1
157	White	Female	non_appalachian	non_first_gen	non_pell_elligible	18	1
158	White	Female	appalachian	non_first_gen	non_pell_elligible	18	1
159	White	Female	appalachian	non_first_gen	pell_elligible	18	1
160	White	Female	appalachian	non_first_gen	non_pell_elligible	18	1
161	White	Female	appalachian	non_first_gen	pell_elligible	18	1
162	White	Male	appalachian	non_first_gen	non_pell_elligible	18	0
163	two_or_more_races	Female	appalachian	first_gen	pell_elligible	18	0
164	White	Female	appalachian	first_gen	non_pell_elligible	18	0
165	White	Female	appalachian	first_gen	pell_elligible	17	0
166	White	Female	appalachian	first_gen	pell_elligible	18	1
167	White	Male	appalachian	non_first_gen	pell_elligible	18	1
168	White	Male	appalachian	non_first_gen	non_pell_elligible	18	1
169	White	Male	appalachian	non_first_gen	non_pell_elligible	18	1
170	White	Female	appalachian	first_gen	pell_elligible	17	1
171	White	Female	appalachian	first_gen	pell_elligible	18	1
172	hispanic_latino	Female	appalachian	non_first_gen	non_pell_elligible	18	1
173	two_or_more_races	Male	appalachian	non_first_gen	non_pell_elligible	19	1
174	White	Female	appalachian	gen_unknown	pell_elligible	18	1
175	two_or_more_races	Female	appalachian	non_first_gen	non_pell_elligible	18	1
176	White	Female	appalachian	first_gen	non_pell_elligible	18	1
177	Asian	Male	appalachian	non_first_gen	non_pell_elligible	19	1
178	White	Female	appalachian	non_first_gen	pell_elligible	18	1
179	White	Female	appalachian	non_first_gen	non_pell_elligible	18	0
180	White	Female	appalachian	non_first_gen	non_pell_elligible	18	1
181	two_or_more_races	Female	non_appalachian	non_first_gen	non_pell_elligible	18	0
182	White	Female	non_appalachian	first_gen	pell_elligible	18	0
183	White	Female	non_appalachian	gen_unknown	non_pell_elligible	18	1
184	White	Female	non_appalachian	gen_unknown	non_pell_elligible	19	1
185	White	Female	appalachian	first_gen	pell_elligible	18	1
186	White	Female	non_appalachian	first_gen	pell_elligible	18	0
187	White	Female	non_appalachian	first_gen	pell_elligible	18	0
188	White	Female	non_appalachian	first_gen	pell_elligible	18	1
189	hispanic_latino	Male	non_appalachian	non_first_gen	pell_elligible	18	1
190	White	Male	non_appalachian	first_gen	non_pell_elligible	17	1
191	White	Male	non_appalachian	non_first_gen	non_pell_elligible	18	1
192	White	Male	non_appalachian	non_first_gen	non_pell_elligible	18	1
193	White	Female	non_appalachian	first_gen	non_pell_elligible	18	1
194	White	Female	non_appalachian	non_first_gen	non_pell_elligible	18	1
195	two_or_more_races	Female	non_appalachian	non_first_gen	non_pell_elligible	18	1
